2025-07-25 10:52:47 | INFO | RCS.page.site_details_page.site_details_page | Starting verification of the status overview section.
2025-07-25 10:52:52 | INFO | RCS.page.site_details_page.site_details_page | Clicking the clear selection button.
2025-07-25 10:58:07 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-25 10:58:44 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-25 10:58:51 | INFO | RCS.page.login_page.login_page | Log in as propertymanager is successful 
2025-07-25 10:58:52 | INFO | RCS.page.site_details_page.site_details_page | Starting verification of the status overview section.
2025-07-25 10:58:56 | INFO | RCS.page.site_details_page.site_details_page | Clicking the clear selection button.
2025-07-25 11:05:01 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-25 11:05:08 | INFO | RCS.page.login_page.login_page | Log in as propertymanager is successful 
2025-07-25 11:05:09 | INFO | RCS.page.site_details_page.site_details_page | Starting verification of the status overview section.
2025-07-25 11:05:14 | INFO | RCS.page.site_details_page.site_details_page | Clicking the clear selection button.
2025-07-25 11:13:13 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-25 11:13:20 | INFO | RCS.page.login_page.login_page | Log in as propertymanager is successful 
2025-07-25 11:13:21 | INFO | RCS.page.site_details_page.site_details_page | Starting verification of the status overview section.
2025-07-25 11:13:26 | INFO | RCS.page.site_details_page.site_details_page | Clicking the clear selection button.
2025-07-25 11:14:54 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-25 11:15:02 | INFO | RCS.page.login_page.login_page | Log in as propertymanager is successful 
2025-07-25 11:15:02 | INFO | RCS.page.site_details_page.site_details_page | Starting verification of the status overview section.
2025-07-25 11:15:08 | INFO | RCS.page.site_details_page.site_details_page | Clicking the clear selection button.
2025-07-25 11:15:08 | INFO | RCS.page.site_details_page.site_details_page | Clicking Sign out button.
2025-07-25 11:23:55 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-25 11:27:09 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-25 11:27:16 | INFO | RCS.page.login_page.login_page | Log in as propertymanager is successful 
2025-07-25 11:27:17 | INFO | RCS.page.site_details_page.site_details_page | Starting verification of the status overview section.
2025-07-25 11:27:21 | INFO | RCS.page.site_details_page.site_details_page | Clicking the clear selection button.
2025-07-25 11:27:21 | INFO | RCS.page.site_details_page.site_details_page | Clicking Sign out button.
2025-07-25 11:35:40 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-25 11:35:48 | INFO | RCS.page.login_page.login_page | Log in as propertymanager is successful 
2025-07-25 11:35:49 | INFO | RCS.page.site_details_page.site_details_page | Starting verification of the status overview section.
2025-07-25 11:35:54 | INFO | RCS.page.site_details_page.site_details_page | Clicking the clear selection button.
2025-07-25 11:35:54 | INFO | RCS.page.site_details_page.site_details_page | Clicking Sign out button.
2025-07-25 11:35:56 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-25 13:26:39 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-25 13:26:46 | INFO | RCS.page.login_page.login_page | Log in as propertymanager is successful 
2025-07-25 13:26:47 | INFO | RCS.page.site_details_page.site_details_page | Starting verification of the status overview section.
2025-07-25 13:26:51 | INFO | RCS.page.site_details_page.site_details_page | Clicking the clear selection button.
2025-07-25 13:26:51 | INFO | RCS.page.site_details_page.site_details_page | Clicking Sign out button.
2025-07-25 15:36:34 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-25 17:50:55 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-25 17:51:04 | INFO | RCS.page.login_page.login_page | Log in as propertymanager is successful 
2025-07-25 17:57:12 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-25 17:57:23 | INFO | RCS.page.login_page.login_page | Log in as propertymanager is successful 
2025-07-25 17:58:10 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-25 17:58:18 | INFO | RCS.page.login_page.login_page | Log in as propertymanager is successful 
2025-07-25 17:58:18 | INFO | RCS.page.site_details_page.site_details_page | Starting verification of the status overview section.
2025-07-25 17:58:24 | INFO | RCS.page.site_details_page.site_details_page | Clicking the clear selection button.
2025-07-25 17:58:24 | INFO | RCS.page.site_details_page.site_details_page | Clicking Sign out button.
2025-07-25 18:07:54 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-25 18:08:01 | INFO | RCS.page.login_page.login_page | Log in as propertymanager is successful 
2025-07-25 18:08:03 | INFO | RCS.page.site_details_page.site_details_page | Starting verification of the status overview section.
2025-07-25 18:08:10 | INFO | RCS.page.site_details_page.site_details_page | Clicking the clear selection button.
2025-07-25 18:08:10 | INFO | RCS.page.site_details_page.site_details_page | Clicking Sign out button.
2025-07-28 10:51:26 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-28 10:51:34 | INFO | RCS.page.login_page.login_page | Log in as facilitymanager is successful 
2025-07-28 10:56:52 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-28 10:57:00 | INFO | RCS.page.login_page.login_page | Log in as facilitymanager is successful 
2025-07-28 10:59:23 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-28 10:59:30 | INFO | RCS.page.login_page.login_page | Log in as facilitymanager is successful 
2025-07-28 10:59:31 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking the menu button.
2025-07-28 10:59:33 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking Device Management in the navigation menu.
2025-07-28 11:07:34 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-28 11:07:53 | INFO | RCS.page.login_page.login_page | Log in as facilitymanager is successful 
2025-07-28 11:07:53 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking the menu button.
2025-07-28 11:07:56 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking Device Management in the navigation menu.
2025-07-28 11:11:01 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-28 11:11:09 | INFO | RCS.page.login_page.login_page | Log in as facilitymanager is successful 
2025-07-28 11:11:09 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking the menu button.
2025-07-28 11:11:11 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking Device Management in the navigation menu.
2025-07-28 11:12:03 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-28 11:12:10 | INFO | RCS.page.login_page.login_page | Log in as facilitymanager is successful 
2025-07-28 11:12:11 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking the menu button.
2025-07-28 11:12:13 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking Device Management in the navigation menu.
2025-07-28 14:30:32 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-28 14:30:41 | INFO | RCS.page.login_page.login_page | Log in as facilitymanager is successful 
2025-07-28 14:30:41 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking the menu button.
2025-07-28 14:30:44 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking Device Management in the navigation menu.
2025-07-28 14:31:31 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-28 14:31:38 | INFO | RCS.page.login_page.login_page | Log in as facilitymanager is successful 
2025-07-28 14:31:38 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking the menu button.
2025-07-28 14:31:40 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking Device Management in the navigation menu.
2025-07-28 14:37:35 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-28 14:37:42 | INFO | RCS.page.login_page.login_page | Log in as facilitymanager is successful 
2025-07-28 14:37:42 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking the menu button.
2025-07-28 14:37:45 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking Device Management in the navigation menu.
2025-07-28 14:41:40 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-28 14:41:47 | INFO | RCS.page.login_page.login_page | Log in as facilitymanager is successful 
2025-07-28 14:41:47 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking the menu button.
2025-07-28 14:41:51 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking Device Management in the navigation menu.
2025-07-28 14:47:19 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-28 14:47:28 | INFO | RCS.page.login_page.login_page | Log in as facilitymanager is successful 
2025-07-28 14:47:28 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking the menu button.
2025-07-28 14:47:32 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking Device Management in the navigation menu.
2025-07-28 14:49:44 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-28 14:49:52 | INFO | RCS.page.login_page.login_page | Log in as facilitymanager is successful 
